Sentence,UserID,Datetime,Train/Dev/Test,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,Score_10,Score_11,Score_12,Score_13,Score_14,Score_15,Score_16,Score_17,Score_18,Score_19,Score_20,Score_21,Score_22,Score_23,Score_24,Score_25,Score_26,Score_27,Score_28,Score_29,Score_30,Score_31,Score_32,Score_33,Score_34,Score_35,Score_36,Score_37,Score_38,Score_39,Score_40
肉まん、サーモンロール、茶碗蒸し、納豆、シナモンロール｡暇やからって食べ過ぎた…(●´з｀●),1,2012/09/21 02:46,train,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
次の月曜の19時から落語観たい人???,1,2012/09/21 23:17,train,1,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
ヤバい!2700のBO0WY!!,1,2012/09/21 23:18,train,3,0,3,3,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0
最強の二人、夢売る二人、愛と誠｡観たい映画、メモ…,1,2012/09/22 00:07,train,1,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
ごくありきたりで俗っぽくて申し訳ないのですが、ミランダ･カーめっちゃ可愛い!めっちゃ好き!いつまでも見てられる…お子様もまたデカくて可愛いんだ!,1,2012/09/22 01:31,train,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,1,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2
腰をイワしています｡痛み止め飲んでるからか四六時中眠い。いける日は整骨院でほぐしてもらうけど、今日明日休みやん｡テーピングもかゆくなってはがしたし、明日は文字通り丸腰｡夜までもってくれ､腰!,1,2012/09/22 22:18,train,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,1,0,0
落語…どしよかな…それか映画いこかな。,1,2012/09/24 02:10,train,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
結局映画にも落語にも整体にも行けず、せめて夕飯はと思ったのに怠けグセがついて､出前とってしまった｡全力で安静中♪,1,2012/09/24 21:48,train,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
眠いのに眠れない…,1,2012/09/25 00:02,train,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
今日のアボカドはあじひとで食べるかな!誰か釣れるかな!,1,2012/09/25 02:20,train,2,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
自己否定感が強い人は他人も否定する｡批判の多いのは、自分に自信がないと宣伝しているようなものだ｡自己肯定の人は、周りがなにを言っても気にならない｡それはそれと受け止めるのだ｡,1,2012/09/26 00:10,train,0,1,2,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
今日カラーをしてもらったら鬼太郎ぽくなった｡仕事帰りに会った数名の知人にはいいやん!と言ってもらえて少し安心した｡でもね､ほんまはちょっとちゃうかな?って思ってるねん｡ま、来週まで楽しむか｡,1,2012/09/27 02:02,train,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
鬼太郎ぽい体型の女子って…,1,2012/09/27 03:35,train,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
うどんとラーメンハシゴしておなかパンパン!初､丸亀製麺からの彦ェ門!あっさりとんこつで完食!その筋では有名店らしい,1,2012/09/28 01:07,train,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
なすの田楽食べたいな?,1,2012/09/28 20:57,train,1,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
ご飯食べにいきたい…でも、もう眠いよパトラッシュ…,1,2012/09/28 23:09,train,0,2,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
腰が痛い日々を送っています。色んなことが段々面倒になってきた｡昨日の晩から数えて初めての食事｡エビマヨ!アボカド!サーモン!鶏トマト煮!ふじいちでカロリーを取り戻す!,1,2012/09/29 22:11,train,2,1,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0
天王寺ぶらり｡あわよくば映画みてやろ?!程よくおなかも空いてきたし、一人でもいけそーないい感じの店あったら教えて?!,1,2012/10/01 21:17,train,2,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0
こんな時間に鴨つけうどん!ゆずピール入ってて結構おいしい!やるななか卯｡,1,2012/10/02 02:40,train,3,0,2,2,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0
経済ジャーナリスト金子さん(ほんまでっか出演)の訃報にびっくり｡病気みたい｡ご冥福をお祈りいたします｡,1,2012/10/04 00:25,train,0,2,0,3,0,1,0,2,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,0
何でもないようなことが幸せだったと思う?何でもない夜のこと、腰痛で寝れないよーる?,1,2012/10/04 02:42,train,0,2,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
少し前から毎日のようにつきまとわれている｡姿が見えない日もあって油断してるときっちり現れて､最近では睡眠妨害までしてくる…もういい加減にしてほしい!!!,1,2012/10/05 01:17,train,0,2,0,0,2,2,2,0,0,0,0,0,3,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,3,0,2,0,0,1,0,0,3,0,1,0
腰痛の話｡寝てもさめても腰痛い｡痛みよ､去れ!イたとん!!,1,2012/10/05 01:20,train,0,3,1,0,0,2,2,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,3,0,3,0,0,1,0,0,1,0,2,0
メルヘンに憧れがち｡現実を生きなければな。てか早く寝たい(>_<)!,1,2012/10/06 03:00,train,0,1,2,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
今週も終わった!そして今から休みだ!明日は祝日か?何しよどこいこ!,1,2012/10/07 20:59,train,3,0,3,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0
寒いなぁ?鍋いこかな?,1,2012/10/07 21:32,train,2,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0
おなかすいた…orz,1,2012/10/08 00:16,train,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0
高校生みてると、笑顔可愛いな?とかなんかニヤけてしまう｡失われた青春を取り戻すようにかぶりつく私｡祝日の風景。,1,2012/10/08 18:27,train,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ハンバーグ食べたい!同志求ム!,1,2012/10/08 21:34,train,2,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0
本が好きだ｡いや､立ち読み､流し読み､本に囲まれているのが好きだ｡standardbookstoreが近所にあったら､住むかもしれない｡,1,2012/10/09 01:35,train,3,0,3,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,3,0,0,0,0,2,1,0,2,0,0,0,0,1
ノーベル賞山中さんに興味津々｡朝からいろんな番組を見ているけど、まず目につくのはユーモアたっぷりでにこやかに話す奥さん｡会見ではまじめな印象が強かったけど、きっとご本人もユーモア溢れる方なのだろう。二人がどんな風に愛を育んできたのかが気になる。,1,2012/10/09 17:26,train,3,0,3,2,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0
恥ずかしくない仕事をしよう。心からそう思います。,1,2012/10/11 04:59,train,1,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0
西田辺は雷雨!!,1,2012/10/11 21:14,train,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
調子よくしゃべった翌日はたいてい凹む。そろそろキャラ統一すべきかなぁ。,1,2012/10/12 00:22,train,0,2,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0
この性格の悪さを何とかしたい…,1,2012/10/12 23:15,train,0,2,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,2,0
ほぼ毎日、パックのジュースをコンビニで買います。今日、袋の中にはジュースと割り箸が入ってました。眠かったんかな。,1,2012/10/17 03:18,train,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
お客さんが切れない。ありがたいけどお腹すいた…ラスト一人がんばる!!,1,2012/10/18 19:30,train,3,0,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
世の迷える女子に告ぐ。ニーハイの威力は、想像以上だ。,1,2012/10/23 01:07,train,1,0,2,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,1
結局、わがままなんだな。己の幼さが歯がゆい。,1,2012/10/23 03:10,train,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0
観たい映画。新しい靴を買わなくちゃ、終の信託。メモ…,1,2012/10/26 23:56,train,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
食材はその日食べる分しか買わないので、休日は出かけるまでほとんど食べられないことになる。でもこの胃と腸がが空になってく感じが好きだったりする。体が少し浄化されたような？アブナイ人ではないですよ。多分,1,2012/10/29 02:42,train,2,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
同年代の女子が何を考え、どのように暮らしているか気になる。同い年と聞けばなおさら。最近気になる人。峰なゆかという女（ひと）…,1,2012/10/29 03:55,train,2,0,3,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
たまたまイラストを目にすることが何度かあり、面白いな～と思っていたら最近インタビュー記事を読み、別口で気になってた著作の作者でありイラストの主だと発覚しびっくり。同い年と知りまた興味津々。とそこへきて知人の、Rtで峰さんのアカウントを知る。これは運命なのだと勝手に思っています。,1,2012/10/29 04:03,train,2,0,3,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0
田中里奈、たなかりな、ティーナカリーナ…,1,2012/10/31 00:06,train,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
キョンキョンのアレ見逃すとこだった！あっぶね！ワンセグよありがとう！,1,2012/11/02 23:05,train,3,0,3,1,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
さ、さむい…,1,2012/11/03 03:57,train,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0
今日は頑張った…ただいま我が家。散らかってるのももはや愛おしい。…でも片づけよ。,1,2012/11/03 22:44,train,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
何気なく入ったDVDコーナーで流れていたONE PIECEに目を奪われる。これちょうどあかんとこやん！医者を！医者を教えでぐたざいﾞ!!,1,2012/11/06 00:00,train,2,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0
何だかサイコパスって言葉を最近よく目にする。流行ってるのかね？｢悪の教典 ｣面白そう。,1,2012/11/06 02:58,train,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0
やな季節が来たなぁ…,1,2012/11/06 04:26,train,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0
雨ニモ負ケズ みたいな人になりたいなぁ。,1,2012/11/06 23:07,train,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
憤る。憤る28さい。出家でもしなければこんな感情からは解放されないと思う。,1,2012/11/07 02:16,train,0,2,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,2,0,0,1,0,0,1,0,1,0
旅に出たい…,1,2012/11/08 04:04,train,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,2,0,0,0,0,0
今朝起きていきなり柿をガブリとやって、切れた口の端が痛い。ついでに唇全体的に腫れてる。カブレたか…柿が好きすぎる。,1,2012/11/08 04:10,train,2,0,2,1,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
職場でお寿司連れてってもらってお腹パンパン！デザートまで出してもらって大満足。苦しくなるほど食べられるなんて幸せじゃないか。,1,2012/11/08 23:15,train,3,0,2,1,0,0,0,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
住む家がある、職がある、ちゃんと靴を履いて、毎日食べられる。離れていても家族や友達がいる。なんだ、必要なものは十分にあるじゃないか。,1,2012/11/08 23:26,train,2,0,2,1,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1
世の迷える男子に告ぐ。寝不足かつ空腹の女子に近づくとロクなことがないぞ！てことでたらふく食べたしふやけたし寝ます。おやすみなさい。,1,2012/11/10 23:26,train,2,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ホームパーティー楽しすぎてお泊まりした帰り道。祭りのあとはいつも寂しい,1,2012/11/12 11:07,train,2,1,2,0,0,0,0,3,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0
天気いいなーって歩いてたらスニーカーやさんからバービーボーイズ。シュール。,1,2012/11/12 14:16,train,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0
噂の壇蜜さんのブログが何となく面白い。,1,2012/11/12 19:29,train,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
めっちゃ丁度いい光が部屋の窓から差し込む。こうして絵でも描いて暮らしたい。,1,2012/11/13 15:20,train,3,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0
今最も胸をはだけさせられベッドやソファに寝転がらされる男、生田斗真。すごいよ生田斗真。てれび戦士だったのに…,1,2012/11/14 00:46,train,1,1,1,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0
精神年齢が日に日に下がる気がする28さい。体年齢は日に日に上がる28さい。寝よ…,1,2012/11/14 02:48,train,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2012年下半期は様々なお一人様に挑戦しています。串カツは楽勝!!おやすみなさい,1,2012/11/14 02:51,train,3,0,3,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
悲しくても辛くても、日々を生きなきゃいけなくて、そうしてうやむやにしながら生きていくんだなぁ。,1,2012/11/18 23:45,train,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
休み前の晩にパジャマにメガネでてんこ盛りのご飯やいろんなおやつを食べながらテレビ見たりネットしたり、そうして時間に関わらず眠くなったらそのまま寝るのが最高に幸せ,1,2012/11/19 01:53,train,3,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
こうやってデブになっていくのかなぁ。,1,2012/11/19 01:56,train,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
普段から地味なのだが、休日の私はほんとに地味である。更に今日は輪をかけて、もう誰かを不快にしてしまうんじゃないかって程の地味さ。知り合いに会ったら怪しまれはしても気付かれないだろうな。,1,2012/11/19 20:59,train,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
友達がハワイで挙式して、森で撮った写真がすごく素敵で羨ましかった。長い髪はゆる巻きダウンにして、お花の冠とベールをつけてるかんじ。木漏れ日を見上げる姿が可愛かったなぁ。,1,2012/11/20 16:37,train,3,1,1,0,0,0,0,2,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
今日また、ふらりと入れる店が増えた。お酒もご飯も美味しかったし、何より、何となく温かい店だった。,1,2012/11/20 19:28,train,3,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1
